[12 10:54:43] TOTAL/Train 23/56851, lr:[9.996130235176163e-06], loss0-0.718603, loss1-0.571582, loss2-0.687857, loss3-0.738383
[12 10:54:44] TOTAL/Train 24/56851, lr:[9.99595433677508e-06], loss0-0.669462, loss1-0.555566, loss2-0.621093, loss3-0.346575
[12 10:54:45] TOTAL/Train 25/56851, lr:[9.995778438373997e-06], loss0-0.700541, loss1-0.552841, loss2-0.774523, loss3-1.061625
[12 10:54:46] TOTAL/Train 26/56851, lr:[9.995602539972913e-06], loss0-0.700581, loss1-0.589382, loss2-0.626773, loss3-0.647067
[12 10:54:47] TOTAL/Train 27/56851, lr:[9.99542664157183e-06], loss0-0.699895, loss1-0.541642, loss2-0.568995, loss3-0.640604
[12 10:54:48] TOTAL/Train 28/56851, lr:[9.995250743170745e-06], loss0-0.678518, loss1-0.549189, loss2-0.624285, loss3-0.398674
[12 10:54:49] TOTAL/Train 29/56851, lr:[9.995074844769662e-06], loss0-0.720773, loss1-0.545264, loss2-0.595324, loss3-0.762001
[12 10:54:50] TOTAL/Train 30/56851, lr:[9.994898946368578e-06], loss0-0.663903, loss1-0.549326, loss2-0.594316, loss3-0.718915
[12 10:54:51] TOTAL/Train 31/56851, lr:[9.994723047967495e-06], loss0-0.679185, loss1-0.546025, loss2-0.580272, loss3-0.733793
[12 10:54:52] TOTAL/Train 32/56851, lr:[9.994547149566412e-06], loss0-0.722746, loss1-0.568301, loss2-0.608172, loss3-0.354051
[12 10:54:53] TOTAL/Train 33/56851, lr:[9.994371251165328e-06], loss0-0.691877, loss1-0.510761, loss2-0.741890, loss3-1.186176
[12 10:54:54] TOTAL/Train 34/56851, lr:[9.994195352764245e-06], loss0-0.679186, loss1-0.542344, loss2-0.730536, loss3-1.123971
[12 10:54:55] TOTAL/Train 35/56851, lr:[9.99401945436316e-06], loss0-0.688972, loss1-0.572147, loss2-0.674059, loss3-0.304168
[12 10:54:56] TOTAL/Train 36/56851, lr:[9.993843555962077e-06], loss0-0.683050, loss1-0.552691, loss2-0.750771, loss3-0.310286
[12 10:54:57] TOTAL/Train 37/56851, lr:[9.993667657560993e-06], loss0-0.670693, loss1-0.508384, loss2-0.609333, loss3-0.847851
